iter	Passed	Remaining
0	7	7176
1	9	4735
2	11	3726
3	12	3135
4	13	2766
5	15	2565
6	16	2399
7	18	2253
8	19	2131
9	20	2039
10	22	1979
11	23	1926
12	24	1887
13	26	1837
14	27	1804
15	29	1789
16	30	1773
17	32	1747
18	33	1729
19	34	1710
20	36	1694
21	37	1676
22	39	1663
23	41	1668
24	42	1662
25	43	1637
26	45	1622
27	46	1609
28	47	1604
29	49	1596
30	50	1590
31	52	1578
32	53	1571
33	55	1568
34	56	1559
35	57	1548
36	59	1538
37	60	1533
38	62	1530
39	63	1523
40	64	1513
41	66	1506
42	67	1503
43	68	1498
44	70	1491
45	71	1485
46	72	1478
47	74	1477
48	76	1475
49	77	1469
50	78	1462
51	80	1460
52	81	1461
53	83	1458
54	84	1453
55	86	1451
56	87	1448
57	89	1445
58	90	1440
59	91	1437
60	93	1436
61	94	1435
62	96	1432
63	97	1427
64	98	1423
65	100	1421
66	102	1421
67	103	1417
68	104	1411
69	106	1408
70	107	1408
71	109	1406
72	110	1402
73	111	1397
74	113	1395
75	114	1394
76	116	1392
77	117	1389
78	118	1387
79	120	1385
80	122	1385
81	123	1382
82	124	1379
83	126	1378
84	128	1378
85	129	1375
86	130	1370
87	132	1369
88	133	1366
89	134	1364
90	136	1361
91	137	1358
92	139	1356
93	140	1354
94	141	1350
95	143	1346
96	144	1344
97	146	1344
98	147	1341
99	148	1339
100	150	1335
101	151	1333
102	153	1332
103	154	1331
104	155	1328
105	157	1325
106	158	1323
107	160	1322
108	161	1321
109	162	1318
110	164	1317
111	166	1317
112	167	1317
113	169	1315
114	170	1312
115	172	1313
116	174	1313
117	175	1312
118	176	1310
119	178	1309
120	181	1316
121	183	1318
122	185	1321
123	186	1321
124	189	1325
125	191	1330
126	193	1331
127	195	1332
128	197	1334
129	200	1344
130	202	1344
131	204	1345
132	206	1347
133	208	1347
134	211	1352
135	212	1353
136	216	1360
137	219	1371
138	221	1371
139	223	1372
140	226	1377
141	227	1376
142	229	1377
143	231	1376
144	233	1377
145	235	1379
146	238	1381
147	240	1382
148	241	1379
149	243	1380
150	245	1381
151	247	1379
152	249	1378
153	251	1380
154	252	1378
155	254	1377
156	256	1376
157	258	1375
158	259	1374
159	262	1377
160	264	1379
161	266	1378
162	268	1376
163	269	1376
164	271	1375
165	273	1373
166	274	1370
167	276	1369
168	278	1368
169	279	1365
170	280	1362
171	282	1360
172	284	1358
173	285	1355
174	287	1353
175	288	1351
176	290	1348
177	291	1345
178	292	1342
179	294	1339
180	295	1337
181	297	1335
182	298	1332
183	299	1328
184	301	1326
185	302	1323
186	304	1321
187	305	1319
188	306	1316
189	308	1314
190	309	1312
191	311	1310
192	312	1307
193	313	1304
194	315	1301
195	316	1299
196	318	1297
197	319	1294
198	321	1292
199	322	1290
200	324	1288
201	325	1285
202	326	1283
203	328	1281
204	330	1280
205	331	1277
206	332	1274
207	334	1272
208	335	1270
209	337	1268
210	338	1265
211	339	1262
212	341	1261
213	342	1259
214	344	1256
215	345	1254
216	346	1251
217	348	1250
218	350	1248
219	351	1246
220	352	1243
221	354	1242
222	355	1240
223	357	1238
224	358	1235
225	360	1234
226	361	1232
227	363	1230
228	364	1228
229	366	1225
230	367	1223
231	369	1221
232	370	1219
233	371	1217
234	373	1215
235	374	1213
236	376	1211
237	377	1208
238	379	1207
239	381	1207
240	383	1206
241	384	1204
242	385	1202
243	387	1200
244	389	1198
245	390	1197
246	392	1195
247	393	1194
248	395	1194
249	397	1192
250	399	1191
251	401	1192
252	403	1191
253	404	1189
254	406	1187
255	408	1186
256	409	1184
257	411	1182
258	413	1181
259	414	1180
260	416	1178
261	417	1176
262	419	1174
263	420	1173
264	422	1171
265	423	1169
266	425	1167
267	427	1166
268	428	1164
269	430	1162
270	431	1161
271	433	1159
272	435	1159
273	437	1158
274	439	1158
275	442	1160
276	443	1158
277	445	1157
278	448	1159
279	450	1157
280	451	1156
281	454	1156
282	456	1155
283	457	1153
284	459	1153
285	461	1151
286	462	1150
287	464	1148
288	466	1146
289	467	1145
290	469	1143
291	470	1141
292	472	1140
293	474	1139
294	475	1136
295	477	1134
296	478	1132
297	479	1130
298	481	1129
299	482	1126
300	484	1124
301	486	1123
302	487	1121
303	488	1119
304	490	1116
305	491	1115
306	493	1113
307	494	1111
308	495	1108
309	497	1106
310	498	1104
311	500	1102
312	501	1100
313	502	1098
314	504	1096
315	505	1094
316	507	1092
317	508	1090
318	510	1088
319	511	1086
320	513	1085
321	514	1083
322	515	1081
323	517	1079
324	518	1077
325	520	1075
326	521	1073
327	522	1071
328	524	1069
329	525	1067
330	527	1065
331	528	1063
332	530	1061
333	531	1060
334	533	1058
335	534	1056
336	536	1054
337	537	1053
338	539	1051
339	540	1049
340	542	1048
341	543	1045
342	545	1044
343	546	1042
344	548	1040
345	549	1038
346	551	1037
347	553	1036
348	554	1034
349	555	1032
350	557	1030
351	558	1028
352	560	1026
353	561	1024
354	562	1022
355	564	1020
356	565	1018
357	567	1017
358	568	1015
359	570	1013
360	571	1012
361	573	1010
362	574	1008
363	576	1007
364	577	1005
365	579	1003
366	580	1002
367	582	1000
368	584	998
369	585	997
370	587	995
371	588	993
372	590	992
373	592	991
374	593	989
375	595	987
376	596	985
377	598	984
378	599	982
379	601	980
380	602	978
381	604	977
382	605	975
383	606	973
384	608	971
385	609	970
386	611	968
387	612	966
388	614	964
389	615	962
390	617	961
391	618	959
392	620	957
393	621	955
394	622	953
395	624	952
396	625	950
397	627	948
398	628	946
399	629	944
400	631	943
401	632	941
402	634	939
403	635	937
404	637	936
405	639	935
406	640	933
407	642	931
408	644	930
409	645	929
410	647	927
411	648	925
412	650	924
413	652	923
414	653	921
415	655	920
416	657	919
417	658	917
418	660	915
419	661	913
420	663	912
421	664	910
422	665	908
423	667	906
424	668	904
425	670	903
426	671	901
427	673	899
428	674	898
429	676	896
430	677	894
431	679	893
432	680	891
433	682	889
434	683	888
435	685	886
436	686	884
437	688	883
438	689	881
439	691	879
440	692	878
441	694	876
442	695	874
443	697	873
444	698	871
445	699	869
446	701	867
447	702	865
448	704	864
449	705	862
450	707	860
451	708	859
452	710	857
453	711	855
454	713	854
455	714	852
456	716	850
457	717	849
458	718	847
459	720	845
460	721	843
461	723	842
462	724	840
463	725	838
464	727	836
465	729	835
466	730	833
467	731	832
468	733	830
469	735	828
470	736	827
471	737	825
472	739	823
473	740	822
474	742	820
475	744	819
476	745	817
477	746	815
478	748	814
479	749	812
480	751	810
481	752	809
482	754	807
483	755	805
484	757	804
485	759	802
486	761	801
487	762	800
488	764	798
489	766	797
490	767	795
491	768	793
492	770	792
493	771	790
494	773	788
495	774	787
496	776	785
497	777	784
498	779	782
499	781	781
500	782	779
501	784	778
502	786	776
503	787	775
504	789	773
505	790	771
506	791	770
507	793	768
508	795	766
